Hashcode,Jingle,Candidate,Latency
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202101300630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202101310630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102010630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102020630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102030630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102040630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102050630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102060630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102070630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102080630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102090630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102100630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102110630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102120630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102130630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102140630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102150630.mp4,-424
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102160630.mp4,-422
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102170630.mp4,-386
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102180630.mp4,-314
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102190630.mp4,-471
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102200630.mp4,-254
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102210630.mp4,-386
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102220630.mp4,-281
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102230630.mp4,-97
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102240630.mp4,-332
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102250630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102260630.mp4,-58
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102270630.mp4,-234
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102260630.mp4,c192_202102280630.mp4,-453
4a371196085b0aade484447f0ed11a4149d187c5,c192_202102160135.mp4,c192_202102020130.mp4,-1000
4a371196085b0aade484447f0ed11a4149d187c5,c192_202102160135.mp4,c192_202102090145.mp4,180
4a371196085b0aade484447f0ed11a4149d187c5,c192_202102160135.mp4,c192_202102160135.mp4,160
4a371196085b0aade484447f0ed11a4149d187c5,c192_202102160135.mp4,c192_202102230140.mp4,17
dc9ec1032c0bf9e1560a228828f1377772b2d49a,c192_202102141015.mp4,c192_202101311015.mp4,-1000
dc9ec1032c0bf9e1560a228828f1377772b2d49a,c192_202102141015.mp4,c192_202102071015.mp4,-228
dc9ec1032c0bf9e1560a228828f1377772b2d49a,c192_202102141015.mp4,c192_202102141015.mp4,-147
dc9ec1032c0bf9e1560a228828f1377772b2d49a,c192_202102141015.mp4,c192_202102211015.mp4,-230
dc9ec1032c0bf9e1560a228828f1377772b2d49a,c192_202102141015.mp4,c192_202102281015.mp4,-223
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202101300630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202101310630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102010630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102020630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102030630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102040630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102050630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102060630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102070630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102080630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102090630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102100630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102110630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102120630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102130630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102140630.mp4,-358
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102150630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102160630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102170630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102180630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102190630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102200630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102210630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102220630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102230630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102240630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102250630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102260630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102270630.mp4,-1000
40879f1ca12bf114909787b75ffe63b7f9d9ca46,c192_202102140630.mp4,c192_202102280630.mp4,-1000
3b150f055fb269b9d5a21226d75e9d5ef17c89e2,c192_202102131040.mp4,c192_202101301030.mp4,-1000
3b150f055fb269b9d5a21226d75e9d5ef17c89e2,c192_202102131040.mp4,c192_202102061040.mp4,252
3b150f055fb269b9d5a21226d75e9d5ef17c89e2,c192_202102131040.mp4,c192_202102131040.mp4,-137
3b150f055fb269b9d5a21226d75e9d5ef17c89e2,c192_202102131040.mp4,c192_202102201040.mp4,285
3b150f055fb269b9d5a21226d75e9d5ef17c89e2,c192_202102131040.mp4,c192_202102271040.mp4,206
dec19a40b834d4a85614ced69a82256837b9720a,c192_202102120105.mp4,c192_202102050100.mp4,-1000
dec19a40b834d4a85614ced69a82256837b9720a,c192_202102120105.mp4,c192_202102050145.mp4,-1000
dec19a40b834d4a85614ced69a82256837b9720a,c192_202102120105.mp4,c192_202102120105.mp4,265
dec19a40b834d4a85614ced69a82256837b9720a,c192_202102120105.mp4,c192_202102190105.mp4,600
dec19a40b834d4a85614ced69a82256837b9720a,c192_202102120105.mp4,c192_202102260100.mp4,-1000
48354baea923862b0bfed2a3d061556bada90f46,c192_202102062340.mp4,c192_202102062340.mp4,398
48354baea923862b0bfed2a3d061556bada90f46,c192_202102062340.mp4,c192_202102132340.mp4,-111
48354baea923862b0bfed2a3d061556bada90f46,c192_202102062340.mp4,c192_202102202340.mp4,-314
48354baea923862b0bfed2a3d061556bada90f46,c192_202102062340.mp4,c192_202102272340.mp4,-436
9ad0fd8f835e621f4a78698101058f6b55cca1b4,c192_202102062105.mp4,c192_202102062105.mp4,504
9ad0fd8f835e621f4a78698101058f6b55cca1b4,c192_202102062105.mp4,c192_202102132105.mp4,641
9ad0fd8f835e621f4a78698101058f6b55cca1b4,c192_202102062105.mp4,c192_202102202105.mp4,500
9ad0fd8f835e621f4a78698101058f6b55cca1b4,c192_202102062105.mp4,c192_202102272105.mp4,444
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102042105.mp4,665
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102042200.mp4,424
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102042300.mp4,640
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102112105.mp4,-1000
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102112200.mp4,645
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102112305.mp4,388
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102120005.mp4,-1000
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102182105.mp4,651
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102182200.mp4,691
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102182310.mp4,414
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102190010.mp4,397
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102252105.mp4,683
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102252200.mp4,-1000
74428c3423ec970eef4541bac86e9fefa66782eb,c192_202102042105.mp4,c192_202102252300.mp4,-1000
102157551eeb2a81ba2140ea2704edd5c3a3b629,c192_202102032315.mp4,c192_202102012305.mp4,-1000
102157551eeb2a81ba2140ea2704edd5c3a3b629,c192_202102032315.mp4,c192_202102012355.mp4,-1000
